Nome do grupo: Acacio Birthday Present

Elementos do grupo: 
joana@gmail.com";"gabs@gmail.com";"ferreira@gmail.com";"diogoroliveira02@gmail.com";"larafbizarro@gmail.com


Descrição    Data    Valor    Pago por    A dividir com


"How to get girls 101"    "2025/02/01"    "20.0"    "joana@gmail.com"    "larafbizarro@gmail.com joana@gmail.com gabs@gmail.com ferreira@gmail.com diogoroliveira02@gmail.com "

"Dating for single people"    "2025/02/01"    "25.0"    "diogoroliveira02@gmail.com"    "larafbizarro@gmail.com joana@gmail.com gabs@gmail.com ferreira@gmail.com diogoroliveira02@gmail.com "

"Tinder Platinum"    "2025/02/01"    "499.0"    "gabs@gmail.com"    "larafbizarro@gmail.com joana@gmail.com gabs@gmail.com ferreira@gmail.com diogoroliveira02@gmail.com "

"SoulFun Subscription"    "2025/02/01"    "9.99"    "larafbizarro@gmail.com"    "larafbizarro@gmail.com joana@gmail.com gabs@gmail.com ferreira@gmail.com diogoroliveira02@gmail.com "

"Suprise Date"    "2025/02/25"    "500.0"    "ferreira@gmail.com"    "larafbizarro@gmail.com joana@gmail.com gabs@gmail.com ferreira@gmail.com diogoroliveira02@gmail.com "

